sắt sunphat,15
soy sauce,15
hạt rau mùi,14
e433,14
blackcurrant,14
hương trái cây tự nhiên,14
sodium citrate,14
hương chanh giống tự nhiên,14
nước ép trái cây,14
e509,14
acesulfam k,14
vắt bún,14
xi rô ngô,14
men khô,14
lê,14
tương đậu nành,14
gôm xanthan,14
calci sulfat,14
ruột collagen,14
hạt sôcôla,14
e503,14
vanilla,14
gôm arabic,14
có nguồn gốc thực vật,14
sáp ong,14
nước ép trái cây cô đặc,14
gelatine,14
mè đen,14
men lactic,14
natri molybdat,14
fructo oligosaccharid,14
hương kem,14
vitamin k,14
soya,14
mononatri glutamat e621,14
củ hành,14
hương hành tổng hợp,14
gói rau sấy khô,14
nước cốt bò,14
lá mùi tàu,14
xirô ngô nồng độ fructose cao,14
phẩm màu curcumin tự nhiên,14
chất chống oxy hóa tự nhiên,14
hành tím phi,14
đạm thực vật thuỷ phân,14
rượu mai quế lộ,14
gluten bột mì,14
glycerin,14
bột cốt dừa,14
gạo nếp,14
cà ri,14
protein lúa mì,14
bb 12tm,14
chất nhũ hóa dùng trong thực phẩm,14
colostrum,14
tricanxi phosphat,14
huile de tournesol,14
émulsifiant,14
nước ép đào,13
sữa gầy,13
chiết xuất táo,13
hương dâu giống tự nhiên,13
nước ép cam,13
calcium lactate pentahydrate,13
fd,13
agar,13
sodium alginate,13
kem không sữa,13
protomalt,13
e332_i,13
bột konjac,13
caramen nhóm i tổng hợp,13
bột ớt đỏ,13
bánh quy,13
hương phô mai,13
nấm hương,13
e281,13
cá basa,13
sầu riêng,13
glucono delta lacton,13
hương khói tổng hợp,13
hương lá dứa,13
hương thịt giống tự nhiên,13
chất béo thực vật hydro hóa,13
sáp carnauba e903,13
bột kem béo thực vật,13
có thể có đậu phộng,13
cacao mass,13
ngũ cốc chứa gluten,13
các loại hạt khác,13
bột,13
e525,13
e341,13
dầu hạt mỡ,13
dinatri e5' inosinat e631,13
natri hydro carbonat e500_ii,13
amoni hydro carbonat e503_ii,13
gluten từ bột mì,13
whey protein,13
sữa bột hoàn nguyên,13
màu tự nhiên dùng cho thực phẩm,13
từ đậu nành,13
dikali phosphat,13
såt pyrophosphat,13
hỗn hợp nucleotid,13
đạm whey giàu alpha lactalbumin,13
đường ngô,13
dinatri e5,13
dầu olein cọ,13
lá nguyệt quế,13
e221,13
dinatri e5' guanylat e627,13
hành tim,13
hoa hồi,13
dầu gia vị,13
axit lactic,13
màu chiết xuất từ ớt,13
hương ngò gai tổng hợp,13
ngò om,13
sườn heo,13
bột bắp cải,13
bột nhão đậu đen,13
ngũ quả,13
màu điều tự nhiên,13
rong biển sấy,13
chiết xuất mầm lúa mạch,13
hương khói tự nhiên,13
monascus red,13
pyrophosphat,13
chiết xuất thảo mộc,13
e470_ii,13
galacto oligosaccharides,13
dầu đơn bào,13
nucleotide,13
dinatri guanosin 5' monophotphat,13
chất chống ôxi hóa dùng trong thực phẩm,13
đồng sunphat,13
sản phẩm có chứa thành phần từ dầu cá,13
đường sữa lactose,13
sản phẩm có chứa đạm sữa,13
hương cà phê tổng hợp dùng trong thực phẩm,13
muối tinh luyện,12
hương đào tổng hợp,12
aspartame e951,12
bột mật ong,12
e472,12
hương chocolate,12
dầu dừa hydro hóa,12
nước cốt bí đao cô đặc,12
siro bắp,12
zinc gluconate,12
trà xanh thái nguyên,12
acid sorbic,12
muối na,12
đầu thực vật,12
cá thu,12
thành phần có chứa sữa,12
hành baro,12
muỗi,12
e407a,12
hương bơ tự nhiên,12
bột chiết xuất xương ống,12
chiết xuất gia vị,12
gồm gua,12
vỏ bánh,12
hành củ,12
trứng muối,12
có chứa lúa mì,12
hương bạc hà tổng hợp,12
e967,12
illipe,12
tinh dầu bạc hà,12
hương the mát tổng hợp,12
mâm xôi,12
hạt cọ,12
gelling agent,12
kali clorua,12
bột gia vị ớt,12
chất nhũ hóa chiết xuất từ đậu nành,12
gạo lứt huyết rồng,12
casei e431tm,12
calci phosphat tự nhiên từ sữa,12
hương việt quất,12
sữa khô,12
các khoảng chất,12
e456,12
acid docosahexaenoic,12
cohnii,12
2' fl,12
từ xương ống,12
kio3,12
muối lod,12
xương ống,12
thịt lợn,12
phụ gia,12
bột hồi,12
nước cốt sườn thịt hầm,12
sản phẩm chứa các nguyên liệu có nguồn gốc từ đậu nành,12
sodium phosphate dibasic,12
chất nhũ,12
chất điều vị chua,12
lá hành,12
propylene glycol alginat,12
chất điều vị monosodium l glutamate,12
bột cacao giảm béo,12
yến mạch nguyên chất,12
chất chiết xuất từ annatto norbixin based,12
yến mạch nguyên cám,12
choline bitartrate,12
bột váng sữa,12
có nguồn gốc từ đậu nành,12
tinh dầu bạc hà tự nhiên,12
lactobacillus rhamnosus gg,12
hazelnuts,12
sunflower oil,12
fruit pectin,12
coconut oil,12
acid l ascorbic,11
hỗn hợp premix,11
acesulfame kali e950,11
sucralose e955,11
hương táo tự nhiên,11
hương cam giống tự nhiên,11
